day,cumulative_n,p_value,significant,conversion_control,conversion_treatment,lift_abs,ci_lower,ci_upper
1,400,0.4288,False,0.1,0.125,0.025,-0.0369,0.0869
2,800,0.0523,False,0.1,0.145,0.045,-0.0003,0.0903
3,1200,0.0507,False,0.1017,0.1383,0.0367,-0.0,0.0734
4,1600,0.024,True,0.0988,0.135,0.0363,0.0048,0.0677
5,2000,0.0176,True,0.099,0.133,0.034,0.006,0.062
6,2400,0.0648,False,0.1042,0.1283,0.0242,-0.0015,0.0498
7,2800,0.0434,True,0.1021,0.1264,0.0243,0.0007,0.0478
8,3200,0.0289,True,0.1,0.1244,0.0244,0.0025,0.0462
9,3600,0.0738,False,0.1039,0.1228,0.0189,-0.0018,0.0396
10,4000,0.1754,False,0.105,0.1185,0.0135,-0.006,0.033
11,4400,0.0938,False,0.1036,0.1195,0.0159,-0.0027,0.0345
12,4800,0.0356,True,0.1029,0.1221,0.0192,0.0013,0.037
13,5200,0.0224,True,0.1023,0.1223,0.02,0.0028,0.0372
14,5600,0.0179,True,0.1025,0.1225,0.02,0.0035,0.0365
15,6000,0.0179,True,0.103,0.1223,0.0193,0.0033,0.0353
16,6400,0.0188,True,0.1016,0.12,0.0184,0.0031,0.0338
17,6800,0.0198,True,0.1006,0.1182,0.0176,0.0028,0.0325
18,7200,0.0123,True,0.0992,0.1175,0.0183,0.004,0.0327
19,7600,0.0134,True,0.0995,0.1171,0.0176,0.0037,0.0316
20,8000,0.0059,True,0.1003,0.1195,0.0192,0.0056,0.0329
21,8400,0.0051,True,0.0998,0.1188,0.019,0.0057,0.0324
22,8800,0.0046,True,0.1002,0.1191,0.0189,0.0058,0.0319
23,9200,0.0046,True,0.1009,0.1193,0.0185,0.0057,0.0313
24,9600,0.0014,True,0.1002,0.1206,0.0204,0.0079,0.0329
25,10000,0.0009,True,0.1004,0.1212,0.0208,0.0085,0.0331
26,10400,0.0007,True,0.1008,0.1217,0.021,0.0089,0.033
27,10800,0.0009,True,0.1013,0.1215,0.0202,0.0083,0.032
28,11200,0.0003,True,0.1,0.1214,0.0214,0.0098,0.033
29,11600,0.0007,True,0.1009,0.1205,0.0197,0.0082,0.0311
30,12000,0.0007,True,0.1013,0.1208,0.0195,0.0083,0.0307
